cutoff_value,0,1,2,3,4,5,8,9,11,16,17,19,average
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
60.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9636977729601891
70.0,1.0,1.0,0.9896907216494846,1.0,1.0,1.0,1.0,0.7558139534883721,1.0,0.8135593220338984,0.995,1.0,0.9628386664309795
80.0,1.0,1.0,0.9896907216494846,1.0,1.0,1.0,0.0833333333333333,0.7529411764705882,0.9895833333333334,0.8135593220338984,0.995,0.9148936170212766,0.8782501253201594
90.0,1.0,0.0,0.9175257731958762,0.7561837455830389,0.711864406779661,0.9954128440366972,0.0833333333333333,0.5930232558139535,0.8854166666666666,0.5391304347826087,0.6699507389162561,0.4680851063829787,0.6349938587909226
