story_id,cutoff_value,precision,recall,fpr,f1
0,10,0.06986712387483926,1.0,0.9990791896869244,0.13060897435897437
0,20,0.07283288650580876,1.0,0.9553406998158379,0.13577675968346523
0,30,0.07358916478555305,1.0,0.9447513812154696,0.13708999158957108
0,40,0.07844080846968239,1.0,0.8816758747697975,0.1454707719767961
0,50,0.10751978891820581,1.0,0.6229281767955801,0.19416319237641455
0,60,0.1910902696365768,1.0,0.31767955801104975,0.32086614173228345
0,70,0.27121464226289516,1.0,0.20165745856353592,0.42670157068062825
0,80,0.3299595141700405,1.0,0.15239410681399632,0.4961948249619483
0,90,0.5046439628482973,1.0,0.07366482504604052,0.6707818930041153
1,10,0.026472177201512695,1.0,0.9906542056074766,0.05157894736842106
1,20,0.02738960313024036,1.0,0.9565695437053326,0.05331882480957563
1,30,0.029394121175764846,1.0,0.8894997251236944,0.057109557109557105
1,40,0.03592375366568915,1.0,0.7229246838922485,0.06935598018400567
1,50,0.046489563567362426,1.0,0.5525013743815284,0.08884859474161379
1,60,0.07195301027900147,1.0,0.3474436503573392,0.13424657534246578
1,70,0.1084070796460177,1.0,0.22155030236393622,0.19560878243512975
1,80,0.2692307692307692,1.0,0.0731170973062122,0.42424242424242425
1,90,0.0,0.0,0.019791094007696537,0
2,10,0.0485728592889334,1.0,0.9994739610731194,0.09264565425023878
2,20,0.0500515995872033,1.0,0.9684376643871646,0.09533169533169533
2,30,0.050918635170603674,1.0,0.9556025369978859,0.0969030969030969
2,40,0.058433734939759036,1.0,0.8221988427143608,0.11041548093340922
2,50,0.0842013888888889,1.0,0.5549710678590216,0.15532425940752603
2,60,0.1213653603034134,1.0,0.3655970541820095,0.21645997745208564
2,70,0.42105263157894735,0.9896907216494846,0.06943713834823777,0.5907692307692307
2,80,0.7619047619047619,0.9896907216494846,0.015781167806417674,0.8609865470852017
2,90,1.0,0.9175257731958762,0.0,0.956989247311828
3,10,0.11283891547049442,1.0,1.0,0.2027946972411322
3,20,0.11415893505445744,1.0,0.9869662921348314,0.2049239681390297
3,30,0.11728139245752175,1.0,0.9573033707865168,0.2099406528189911
3,40,0.14329113924050632,1.0,0.7604494382022472,0.25066430469441986
3,50,0.22265932336742722,1.0,0.44404494382022475,0.3642213642213642
3,60,0.31905298759864714,1.0,0.27146067415730335,0.48376068376068376
3,70,0.3704188481675393,1.0,0.21617977528089888,0.5405921680993314
3,80,0.7201017811704835,1.0,0.04943820224719101,0.8372781065088758
3,90,0.981651376146789,0.7561837455830389,0.0017977528089887641,0.8542914171656686
4,10,0.02350597609561753,1.0,0.9991846718304117,0.04593226936551187
4,20,0.0236,1.0,0.9951080309824705,0.0461117624071903
4,30,0.02405218100285365,1.0,0.9759478189971463,0.04697452229299364
4,40,0.02611775121735281,1.0,0.8968609865470852,0.050905953408110445
4,50,0.03639728562615669,1.0,0.6367713004484304,0.07023809523809522
4,60,0.04928989139515455,1.0,0.46392172849571955,0.09394904458598727
4,70,0.0702247191011236,1.0,0.2698736241337138,0.13123359580052493
4,80,0.10629067245119306,1.0,0.16795760293518142,0.19215686274509805
4,90,1.0,0.711864406779661,0.0,0.8316831683168318
5,10,0.14267015706806283,1.0,1.0,0.24971363115693013
5,20,0.14313854235062376,1.0,0.9961832061068703,0.2504307869040781
5,30,0.14769647696476965,1.0,0.9603053435114504,0.2573789846517119
5,40,0.22590673575129533,1.0,0.5702290076335877,0.3685545224006762
5,50,0.2965986394557823,1.0,0.3946564885496183,0.45750262329485836
5,60,0.3663865546218487,1.0,0.2877862595419847,0.5362853628536285
5,70,0.42998027613412226,1.0,0.22061068702290076,0.6013793103448276
5,80,0.6055555555555555,1.0,0.1083969465648855,0.7543252595155708
